jumlah_kartu,outstanding,limit_kredit,tagihan,total_pemakaian_tunai,total_pemakaian_retail,sisa_tagihan_tidak_terbayar,kode_cabang,rasio_pembayaran,persentasi_overlimit,rasio_pembayaran_3bulan,rasio_pembayaran_6bulan,skor_delikuensi,flag_kredit_macet,jumlah_tahun_sejak_pembukaan_kredit,total_pemakaian,sisa_tagihan_per_jumlah_kartu,sisa_tagihan_per_limit,total_pemakaian_per_limit,pemakaian_3bln_per_limit,pemakaian_6bln_per_limit,utilisasi_3bulan,utilisasi_6bulan
2,36158,7000000,23437,0,94,26323,I,102.19,0,74.78,100,0,0,15.41666667,94,13161.5,0.003760429,1.34e-5,0.01171875,0.017809524,0.013228036,0.021949333
2,268691,10000000,254564,0,1012,0,A,0,0,0,0,0,0,0.75,1012,0,0,1.012e-4,0,0,0.004231625,3e-4
3,6769149,28000000,4159779,0,0,0,A,100,0,100,100.91,0,0,10.75,0,0,0,0,0.040517857,0.047703226,0.249389277,0.267852798
2,9402085,10000000,6099283,0,2666558,5951865,A,95.99,0,97.49,99.84,0,0,1.666666667,2666558,2975932.5,0.5951865,0.2666558,0.323027,0.131162467,0.707865025,0.336571367
2,6227439,80000000,2081248,0,3690250,4613435,A,0,0,28.46,42.03,0,0,10.25,3690250,2306717.5,0.057667938,0.046128125,0.017184375000000002,0.117513096,0.038963606,0.181863421
2,3906290,4000000,2043682,0,230400,3314046,A,18.47,0,24.95,17.89,0,0,4.666666667,230400,1657023,0.8285115,0.0576,0.01875,0.166666668,1.014775813,0.977230833
4,9534837,20000000,3692028,0,9327612,7881069,A,58.55,0,105.24,166.67,0,0,0.75,9327612,1970267.25,0.39405345,0.4663806,0.2392893,0.241598694,0.261753338,0.22402625
2,4145065,5000000,4021399,0,335680,4122425,B,15.24,0,0,33.33,0,0,5.666666667,335680,2061212.5,0.824485,0.067136,0.19604205,0,0.47002435,0
4,1818606,7000000,1765911,0,0,1627786,A,100,0,58.4,62.68,0,0,8.5,0,406946.5,0.232540857,0,0.075,0.094800619,0.315145179,0.62644790400000006
4,55520052,84000000,12626615,0,31036235,0,A,100,0,100,100,0,0,14.5,31036235,0,0,0.369478988,0.164046339,0.19530254,0.396655988,0.230336444
3,7004631,23000000,610083,0,0,0,A,100.13,0,74.99,18.52,0,0,10.66666667,0,0,0,0,0.057634076,0,0.342642826,0.497703464
2,5664700,9000000,2334602,0,2878725,4494421,B,30.8,0,68.4,100,0,0,20.83333333,2878725,2247210.5,0.499380111,0.319858333,0.098427194,0.297481481,0.402411556,0.46713437
3,7691430,7000000,6463709,0,0,7398073,E,0,10.02,13.04,26.66,0,1,1,0,2466024.333,1.056867571,0,0.067480357,0.079714286,1.039140607,0.929415857
3,8640053,7000000,8035169,0,326100,8269767,A,17.53,23.26,29.47,24.24,0,0,6.666666667,326100,2756589,1.181395286,0.046585714,0.250685714,0.239319047,1.163175571,1.416155476
2,188958,3000000,189816,0,722,0,B,0,0,65.25,100,0,0,2,722,0,0,2.40667e-4,0.016566,0,0.02255475,0.016172
4,39700203,100000000,5366000,0,3101354,0,A,99.9,0,75.01,74.41,0,0,11.58333333,3101354,0,0,0.03101354,0,0.212714983,0.388039143,0.486339247
3,5959226,5000000,5579255,0,380000,5902767,G,20.97,19.54,18.29,13.26,0,0,2.916666667,380000,1967589,1.1805534,0.076,0.137606,0.112229534,1.0560083,0.8936248
2,5309091,5000000,5309314,0,0,5310555,A,9.17,6.21,7.43,14.26,0,1,2.833333333,0,2655277.5,1.062111,0,0.02369,0.2685276,0.98835345,0.9642602
2,701019,4000000,306224,0,457725,0,A,100,0,100,100,0,0,2.75,457725,0,0,0.11443125,0.140283438,0.0415,0.13060025,0.076377
3,13895389,13000000,13552786,0,1583400,0,A,164.09,0,98.12,100,0,0,12.41666667,1583400,0,0,0.1218,0.677190654,0.216974436,0.637737731,0.205422462
2,1178925,3000000,879730,0,331790,0,E,95.69,0,49.57,37.33,0,0,2,331790,0,0,0.110596667,0,0.292907223,0.545604083,0.508366667
2,13283176,18000000,4917782,0,8927737,9205143,K,102.21,0,100,100,0,0,5.416666667,8927737,4602571.5,0.511396833,0.495985389,0.261256694,0.355327704,0.460526708,0.351830907
2,22533915,20000000,22419126,0,0,22442690,A,10.51,12.75,7.49,12.2,0,1,0.916666667,0,11221345,1.1221345,0,0.099496988,0.111728184,1.153388363,1.131109884
2,87473,20000000,76472,0,9653,0,A,0,0,0,0,0,0,2.25,9653,0,0,4.8265e-4,4.78325e-4,0,0.002669388,0
2,1488988,5000000,1256574,0,1305074,0,K,100,0,76.11,74.5,0,0,2.583333333,1305074,0,0,0.2610148,0.16825915,0.184507,0.25309175,0.116644534
3,11652028,23000000,11427308,0,0,11408361,F,29.68,0,12.29,14.46,0,0,12.75,0,3802787,0.496015696,0,0.044881717,0.036325348,0.469491978,0.434387768
5,34400963,75000000,15919380,0,19725000,0,A,100,0,100,100,0,0,11.75,19725000,0,0,0.263,0.1994778,0.248683804,0.358958023,0.39421804
3,4273043,8000000,253948,0,4113189,0,F,100,0,50,33.33,0,0,3.5,4113189,0,0,0.514148625,0.158328125,0.0272335,0.140230063,0.063228584
2,8274519,9000000,8895441,0,453615,8187963,A,0,0,10.31,9.82,0,0,2.75,453615,4093981.5,0.909773667,0.050401667,0.0578,0.073952963,0.911498972,0.883056111
2,207543,3000000,218005,0,0,211938,F,98.96,0,0,44.18,0,0,1.583333333,0,105969,0.070646,0,0.0741395,0.080081443,0.028452667,0
2,20677879,20000000,16368603,0,3930500,20585838,A,10.12,3.62,53.04,99.83,0,0,0.916666667,3930500,10292919,1.0292919,0.196525,0.217989425,0.37957255,0.839397013,0.3786873
2,3453946,5000000,1876878,0,0,0,C,100.44,0,91.37,118.94,0,0,5.333333333,0,0,0,0,0.4831794,0.569841534,0.59164695,0.271449934
2,171772,3000000,135352,0,0,179265,I,100,0,75.05,50.09,0,0,7.666666667,0,89632.5,0.059755,0,0,0.21111111,0.286799917,0.42285211
2,5400592,8000000,5227386,0,0,0,A,100,0,100,100,0,0,0.75,0,0,0,0,0.434746875,0.427333334,0.497469969,0.37172525
2,9780823,12000000,11222392,0,0,9448678,A,0,0,17.27,28.07,0,0,7.75,0,4724339,0.787389833,0,0.081079896,0.052916667,1.053099104,1.1798415
3,21009401,20000000,20861439,0,0,20779541,A,0,4.89,71.09,48.62,0,0,2,0,6926513.667,1.03897705,0,0.4943125,0.903366667,0.9626135,0.99094905
2,126948,12000000,132613,0,0,0,A,0,0,49.91,100,0,0,8.75,0,0,0,0,0.027564875,-0.081558889,0.224720438,1.0049555
5,2956836,3000000,3615236,0,311810,2558147,F,0,0,8.98,12.09,0,0,3.916666667,311810,511629.4,0.852715667,0.103936667,0.015604167,0.128203777,1.08686375,1.171003557
3,5747546,6000000,5754698,1300000,0,5757744,I,42.09,0,75.02,99.94,0,1,11.83333333,1300000,1919248,0.959624,0.216666667,0.265279208,0.010605833,0.72755125,0.548551833
3,21967,50000000,43448,0,0,0,A,0,0,0,0,0,0,15.5,0,0,0,0,0,1.17e-6,5.19945e-4,4.62e-5
